,16,17,18,19,20,21,22,23,24,25
16,0.49923,0.45909,0.43393,0.43251,0.44214,0.4818,0.51981,0.57517,0.64822,0.7486
17,0.54091,0.50153,0.46519,0.45001,0.45231,0.48246,0.52052,0.56703,0.6382,0.73689
18,0.56606,0.53481,0.49856,0.47357,0.46841,0.48679,0.51797,0.56082,0.62624,0.71717
19,0.56749,0.54999,0.52642,0.49847,0.48248,0.49437,0.51295,0.54947,0.61426,0.69999
20,0.55786,0.54768,0.53158,0.51751,0.50056,0.50029,0.50693,0.54166,0.59589,0.67838
21,0.51819,0.51754,0.51321,0.50562,0.49971,0.49735,0.50345,0.52455,0.57069,0.64684
22,0.48018,0.47948,0.48202,0.48705,0.49307,0.49654,0.50004,0.51024,0.5477,0.61909
23,0.42482,0.43297,0.43917,0.45052,0.45833,0.47544,0.48975,0.50011,0.52822,0.58636
24,0.35178,0.36179,0.37376,0.38574,0.40411,0.42931,0.4523,0.47178,0.4992,0.54878
25,0.25139,0.26311,0.28283,0.30001,0.32161,0.35315,0.38091,0.41364,0.45121,0.5004
